"group","LAD13CD","amount","year"
"Rice","E07000031",0.129687251,2011
"Sauces and spices","E07000031",0.099637629,2011
"Sugar confectionary and jam","E07000031",1.706821169,2011
"Takeaway","E07000031",1.663288949,2011
"Tea","E07000031",0.235027882,2011
"Tobacco","E07000031",2.077206394,2011
"Vegtables","E07000031",3.416154818,2011
"Alcohol at home","E07000032",3.488749974,2011
"Alcohol away from home","E07000032",3.263932541,2011
"Bread","E07000032",2.075056301,2011
"Butter","E07000032",0.198054844,2011
"Cakes puddings and pastry","E07000032",0.94714552,2011
"Coffee","E07000032",0.305783189,2011
"Eating out","E07000032",9.133753077,2011
"Eggs","E07000032",0.281786038,2011
"Fish","E07000032",1.053239087,2011
"Fruit","E07000032",1.80780956,2011
"Milk products","E07000032",2.783509675,2011
"Non alcoholic drinks","E07000032",1.420923478,2011
"Oils and fats","E07000032",0.359622309,2011
"Other","E07000032",1.299334433,2011
"Pasta","E07000032",0.178649963,2011
"Poultry","E07000032",0.910605904,2011
"Processed and Other Meat","E07000032",0.009956583,2011
"Processed Meat","E07000032",3.084340833,2011
"Red Meat","E07000032",1.345766962,2011
"Rice","E07000032",0.128319805,2011
"Sauces and spices","E07000032",0.08963663,2011
"Sugar confectionary and jam","E07000032",1.64895888,2011
"Takeaway","E07000032",1.72618697,2011
"Tea","E07000032",0.216002204,2011
"Tobacco","E07000032",2.147037026,2011
"Vegtables","E07000032",3.282057797,2011
"Alcohol at home","E07000033",3.330424251,2011
"Alcohol away from home","E07000033",3.162455175,2011
"Bread","E07000033",2.046428041,2011
"Butter","E07000033",0.191221129,2011
"Cakes puddings and pastry","E07000033",0.933115617,2011
"Coffee","E07000033",0.294188394,2011
"Eating out","E07000033",8.798918564,2011
"Eggs","E07000033",0.278102293,2011
"Fish","E07000033",1.02101976,2011
"Fruit","E07000033",1.748078644,2011
"Milk products","E07000033",2.737023341,2011
"Non alcoholic drinks","E07000033",1.403061727,2011
"Oils and fats","E07000033",0.357524908,2011
"Other","E07000033",1.280068073,2011
"Pasta","E07000033",0.179164546,2011
"Poultry","E07000033",0.888468059,2011
"Processed and Other Meat","E07000033",0.010261385,2011
"Processed Meat","E07000033",3.020804703,2011
"Red Meat","E07000033",1.308464894,2011
"Rice","E07000033",0.130174057,2011
"Sauces and spices","E07000033",0.085976967,2011
"Sugar confectionary and jam","E07000033",1.622918614,2011
"Takeaway","E07000033",1.707841474,2011
"Tea","E07000033",0.21219053,2011
"Tobacco","E07000033",2.196583942,2011
"Vegtables","E07000033",3.210689054,2011
"Alcohol at home","E07000034",3.367374394,2011
"Alcohol away from home","E07000034",3.215968415,2011
"Bread","E07000034",2.063291202,2011
"Butter","E07000034",0.192661451,2011
"Cakes puddings and pastry","E07000034",0.938204863,2011
"Coffee","E07000034",0.298179852,2011
"Eating out","E07000034",8.830724508,2011
"Eggs","E07000034",0.278724063,2011
"Fish","E07000034",1.025752085,2011
"Fruit","E07000034",1.755700055,2011
"Milk products","E07000034",2.771549889,2011
"Non alcoholic drinks","E07000034",1.415241631,2011
"Oils and fats","E07000034",0.360308525,2011
"Other","E07000034",1.29540615,2011
"Pasta","E07000034",0.179722918,2011
"Poultry","E07000034",0.892806201,2011
"Processed and Other Meat","E07000034",0.009198282,2011
"Processed Meat","E07000034",3.062605484,2011
"Red Meat","E07000034",1.326799277,2011
"Rice","E07000034",0.127221339,2011
"Sauces and spices","E07000034",0.085558682,2011
"Sugar confectionary and jam","E07000034",1.633129176,2011
"Takeaway","E07000034",1.735378908,2011
"Tea","E07000034",0.214970702,2011
"Tobacco","E07000034",2.209824812,2011
"Vegtables","E07000034",3.225553599,2011
"Alcohol at home","E07000035",3.691596051,2011
"Alcohol away from home","E07000035",3.222181819,2011
"Bread","E07000035",2.120595187,2011
"Butter","E07000035",0.217172944,2011
"Cakes puddings and pastry","E07000035",0.964318663,2011
"Coffee","E07000035",0.321153969,2011
"Eating out","E07000035",9.599343537,2011
"Eggs","E07000035",0.298464395,2011
"Fish","E07000035",1.148634783,2011
"Fruit","E07000035",1.972391876,2011
"Milk products","E07000035",2.877270773,2011
"Non alcoholic drinks","E07000035",1.426547005,2011
"Oils and fats","E07000035",0.37892396,2011
"Other","E07000035",1.330109343,2011
"Pasta","E07000035",0.174546987,2011
"Poultry","E07000035",0.936299848,2011
"Processed and Other Meat","E07000035",0.010844445,2011
"Processed Meat","E07000035",3.133477249,2011
"Red Meat","E07000035",1.430766054,2011
"Rice","E07000035",0.134479833,2011
"Sauces and spices","E07000035",0.106113477,2011
"Sugar confectionary and jam","E07000035",1.700117552,2011
"Takeaway","E07000035",1.669384285,2011
"Tea","E07000035",0.230036018,2011
"Tobacco","E07000035",1.988997785,2011
"Vegtables","E07000035",3.41486021,2011
"Alcohol at home","E07000036",3.40531845,2011
"Alcohol away from home","E07000036",3.28146765,2011
"Bread","E07000036",2.060875459,2011
"Butter","E07000036",0.193287673,2011
"Cakes puddings and pastry","E07000036",0.938459228,2011
"Coffee","E07000036",0.296770178,2011
"Eating out","E07000036",9.071953399,2011
"Eggs","E07000036",0.277609208,2011
"Fish","E07000036",1.030733851,2011
"Fruit","E07000036",1.748780961,2011
"Milk products","E07000036",2.76886456,2011
"Non alcoholic drinks","E07000036",1.418272762,2011
"Oils and fats","E07000036",0.357388893,2011
"Other","E07000036",1.295078746,2011
"Pasta","E07000036",0.181329935,2011
"Poultry","E07000036",0.895669284,2011
"Processed and Other Meat","E07000036",0.009421341,2011
"Processed Meat","E07000036",3.06603781,2011
"Red Meat","E07000036",1.32694408,2011
"Rice","E07000036",0.126761964,2011
"Sauces and spices","E07000036",0.084883321,2011
"Sugar confectionary and jam","E07000036",1.636540784,2011
"Takeaway","E07000036",1.746603924,2011
"Tea","E07000036",0.213030037,2011
"Tobacco","E07000036",2.164941639,2011
"Vegtables","E07000036",3.233633813,2011
"Alcohol at home","E07000037",3.512631403,2011
"Alcohol away from home","E07000037",3.349473107,2011
"Bread","E07000037",2.073634114,2011
"Butter","E07000037",0.199430726,2011
"Cakes puddings and pastry","E07000037",0.937997487,2011
"Coffee","E07000037",0.300895321,2011
"Eating out","E07000037",9.333704723,2011
"Eggs","E07000037",0.281528775,2011
"Fish","E07000037",1.053598546,2011
"Fruit","E07000037",1.811270402,2011
"Milk products","E07000037",2.797245456,2011
"Non alcoholic drinks","E07000037",1.447688587,2011
"Oils and fats","E07000037",0.359493482,2011
"Other","E07000037",1.307804687,2011
"Pasta","E07000037",0.181674201,2011
"Poultry","E07000037",0.916468304,2011
"Processed and Other Meat","E07000037",0.009009993,2011
"Processed Meat","E07000037",3.066769605,2011
"Red Meat","E07000037",1.347015408,2011
"Rice","E07000037",0.133679733,2011
"Sauces and spices","E07000037",0.089465967,2011
"Sugar confectionary and jam","E07000037",1.651417516,2011
"Takeaway","E07000037",1.769546207,2011
"Tea","E07000037",0.214676571,2011
"Tobacco","E07000037",2.129881885,2011
"Vegtables","E07000037",3.291104478,2011
"Alcohol at home","E07000038",3.449108386,2011
"Alcohol away from home","E07000038",3.16571555,2011
"Bread","E07000038",2.112510494,2011
"Butter","E07000038",0.202957639,2011
"Cakes puddings and pastry","E07000038",0.961555773,2011
"Coffee","E07000038",0.307358206,2011
"Eating out","E07000038",8.813118826,2011
"Eggs","E07000038",0.292488913,2011
"Fish","E07000038",1.089694845,2011
"Fruit","E07000038",1.862247775,2011
"Milk products","E07000038",2.85111201,2011
"Non alcoholic drinks","E07000038",1.44101818,2011
"Oils and fats","E07000038",0.391173856,2011
"Other","E07000038",1.328253694,2011
"Pasta","E07000038",0.179358107,2011
"Poultry","E07000038",0.930702572,2011
"Processed and Other Meat","E07000038",0.011452298,2011
"Processed Meat","E07000038",3.111611858,2011
"Red Meat","E07000038",1.411800344,2011
"Rice","E07000038",0.141988895,2011
"Sauces and spices","E07000038",0.091522753,2011
"Sugar confectionary and jam","E07000038",1.675152196,2011
"Takeaway","E07000038",1.698343423,2011
"Tea","E07000038",0.225028785,2011
"Tobacco","E07000038",2.152767195,2011
"Vegtables","E07000038",3.346237022,2011
"Alcohol at home","E07000039",3.46238856,2011
"Alcohol away from home","E07000039",3.355495833,2011
"Bread","E07000039",2.056302423,2011
"Butter","E07000039",0.191545999,2011
"Cakes puddings and pastry","E07000039",0.932161324,2011
"Coffee","E07000039",0.295477556,2011
"Eating out","E07000039",9.407272767,2011
"Eggs","E07000039",0.272440188,2011
"Fish","E07000039",1.01741517,2011
"Fruit","E07000039",1.75763146,2011
"Milk products","E07000039",2.756225961,2011
"Non alcoholic drinks","E07000039",1.442222594,2011
"Oils and fats","E07000039",0.349281539,2011
"Other","E07000039",1.303637179,2011
"Pasta","E07000039",0.183518485,2011
"Poultry","E07000039",0.903359531,2011
"Processed and Other Meat","E07000039",0.01012006,2011
"Processed Meat","E07000039",3.04489359,2011
"Red Meat","E07000039",1.302401976,2011
"Rice","E07000039",0.129679183,2011
"Sauces and spices","E07000039",0.084832236,2011
"Sugar confectionary and jam","E07000039",1.636159447,2011
"Takeaway","E07000039",1.773844356,2011
"Tea","E07000039",0.208771301,2011
"Tobacco","E07000039",2.109275554,2011
"Vegtables","E07000039",3.251137891,2011
"Alcohol at home","E07000040",3.570134846,2011
"Alcohol away from home","E07000040",3.034936668,2011
"Bread","E07000040",2.178250704,2011
"Butter","E07000040",0.219877471,2011
"Cakes puddings and pastry","E07000040",0.998480606,2011
"Coffee","E07000040",0.326842201,2011
"Eating out","E07000040",8.967638164,2011
"Eggs","E07000040",0.305146107,2011
"Fish","E07000040",1.170006431,2011
"Fruit","E07000040",1.988528664,2011
"Milk products","E07000040",2.964234652,2011
"Non alcoholic drinks","E07000040",1.401949472,2011
"Oils and fats","E07000040",0.395447034,2011
"Other","E07000040",1.357764325,2011
"Pasta","E07000040",0.170334612,2011
"Poultry","E07000040",0.931001812,2011
"Processed and Other Meat","E07000040",0.011393615,2011
"Processed Meat","E07000040",3.213085424,2011
"Red Meat","E07000040",1.483363507,2011
"Rice","E07000040",0.126646664,2011
"Sauces and spices","E07000040",0.101235925,2011
"Sugar confectionary and jam","E07000040",1.728673038,2011
"Takeaway","E07000040",1.582007647,2011
"Tea","E07000040",0.24308273,2011
"Tobacco","E07000040",2.018132408,2011
"Vegtables","E07000040",3.426468731,2011
"Alcohol at home","E07000041",3.202111473,2011
"Alcohol away from home","E07000041",3.581396427,2011
"Bread","E07000041",1.949302025,2011
"Butter","E07000041",0.176822877,2011
"Cakes puddings and pastry","E07000041",0.898965263,2011
"Coffee","E07000041",0.271047441,2011
"Eating out","E07000041",9.185517199,2011
"Eggs","E07000041",0.263324608,2011
"Fish","E07000041",0.962497902,2011
"Fruit","E07000041",1.656072457,2011
"Milk products","E07000041",2.604302818,2011
"Non alcoholic drinks","E07000041",1.380274473,2011
"Oils and fats","E07000041",0.333810518,2011
"Other","E07000041",1.225274862,2011
"Pasta","E07000041",0.179264987,2011
"Poultry","E07000041",0.864736916,2011
"Processed and Other Meat","E07000041",0.009780261,2011
"Processed Meat","E07000041",2.863131492,2011
"Red Meat","E07000041",1.22039477,2011
"Rice","E07000041",0.12949931,2011
"Sauces and spices","E07000041",0.080810939,2011
"Sugar confectionary and jam","E07000041",1.564880153,2011
"Takeaway","E07000041",1.830771567,2011
"Tea","E07000041",0.196966516,2011
"Tobacco","E07000041",2.148720801,2011
"Vegtables","E07000041",3.073343198,2011
"Alcohol at home","E07000042",3.448977902,2011
"Alcohol away from home","E07000042",3.093087487,2011
"Bread","E07000042",2.080453298,2011
"Butter","E07000042",0.200458692,2011
"Cakes puddings and pastry","E07000042",0.955413609,2011
"Coffee","E07000042",0.309341178,2011
"Eating out","E07000042",8.947641074,2011
"Eggs","E07000042",0.285015058,2011
"Fish","E07000042",1.061507063,2011
"Fruit","E07000042",1.838262353,2011
"Milk products","E07000042",2.811197418,2011
"Non alcoholic drinks","E07000042",1.401465499,2011
"Oils and fats","E07000042",0.361278991,2011
"Other","E07000042",1.306524178,2011
"Pasta","E07000042",0.174860171,2011
"Poultry","E07000042",0.908596544,2011
"Processed and Other Meat","E07000042",0.011036785,2011
"Processed Meat","E07000042",3.07439929,2011
"Red Meat","E07000042",1.368238965,2011
"Rice","E07000042",0.123985484,2011
"Sauces and spices","E07000042",0.09346269,2011
"Sugar confectionary and jam","E07000042",1.648758456,2011
"Takeaway","E07000042",1.649294235,2011
"Tea","E07000042",0.219059927,2011
"Tobacco","E07000042",2.079140056,2011
"Vegtables","E07000042",3.278078725,2011
"Alcohol at home","E07000043",3.455700142,2011
"Alcohol away from home","E07000043",3.077594994,2011
"Bread","E07000043",2.10095255,2011
"Butter","E07000043",0.205021776,2011
"Cakes puddings and pastry","E07000043",0.963160613,2011
"Coffee","E07000043",0.309233907,2011
"Eating out","E07000043",8.952236327,2011
"Eggs","E07000043",0.290361092,2011
"Fish","E07000043",1.083391036,2011
"Fruit","E07000043",1.86286544,2011
"Milk products","E07000043",2.83389631,2011
"Non alcoholic drinks","E07000043",1.392106591,2011
"Oils and fats","E07000043",0.371415011,2011
"Other","E07000043",1.309266731,2011
"Pasta","E07000043",0.173830175,2011
"Poultry","E07000043",0.90703415,2011
"Processed and Other Meat","E07000043",0.012065712,2011
"Processed Meat","E07000043",3.077541152,2011
"Red Meat","E07000043",1.384644056,2011
"Rice","E07000043",0.126871236,2011
"Sauces and spices","E07000043",0.096152186,2011
"Sugar confectionary and jam","E07000043",1.662619686,2011
"Takeaway","E07000043",1.633771761,2011
"Tea","E07000043",0.224988448,2011
"Tobacco","E07000043",2.060017288,2011
"Vegtables","E07000043",3.293435549,2011
"Alcohol at home","E07000044",3.661667665,2011
"Alcohol away from home","E07000044",3.192204812,2011
"Bread","E07000044",2.180693661,2011
"Butter","E07000044",0.219877321,2011
"Cakes puddings and pastry","E07000044",1.001136957,2011
"Coffee","E07000044",0.326659011,2011
"Eating out","E07000044",9.386485733,2011
"Eggs","E07000044",0.303791054,2011
"Fish","E07000044",1.164878237,2011
"Fruit","E07000044",1.990091435,2011
"Milk products","E07000044",2.957430018,2011
"Non alcoholic drinks","E07000044",1.429594356,2011
"Oils and fats","E07000044",0.388843454,2011
"Other","E07000044",1.354148191,2011
"Pasta","E07000044",0.177877912,2011
"Poultry","E07000044",0.955468178,2011
"Processed and Other Meat","E07000044",0.014613187,2011
"Processed Meat","E07000044",3.229999773,2011
"Red Meat","E07000044",1.460143807,2011
"Rice","E07000044",0.133966605,2011
"Sauces and spices","E07000044",0.102943266,2011
"Sugar confectionary and jam","E07000044",1.734721753,2011
"Takeaway","E07000044",1.637716632,2011
"Tea","E07000044",0.238609587,2011
"Tobacco","E07000044",2.028120084,2011
"Vegtables","E07000044",3.465093146,2011
"Alcohol at home","E07000045",3.514904855,2011
"Alcohol away from home","E07000045",3.07360003,2011
"Bread","E07000045",2.143627527,2011
"Butter","E07000045",0.209815774,2011
"Cakes puddings and pastry","E07000045",0.981771917,2011
"Coffee","E07000045",0.316623198,2011
"Eating out","E07000045",8.897649289,2011
"Eggs","E07000045",0.295525421,2011
"Fish","E07000045",1.108737814,2011
"Fruit","E07000045",1.904006285,2011
"Milk products","E07000045",2.894603366,2011
"Non alcoholic drinks","E07000045",1.418749344,2011
"Oils and fats","E07000045",0.381991239,2011
"Other","E07000045",1.335810634,2011
"Pasta","E07000045",0.17502162,2011
"Poultry","E07000045",0.928295777,2011
"Processed and Other Meat","E07000045",0.011449801,2011
"Processed Meat","E07000045",3.1597288,2011
"Red Meat","E07000045",1.422806297,2011
"Rice","E07000045",0.12902232,2011
"Sauces and spices","E07000045",0.094530929,2011
"Sugar confectionary and jam","E07000045",1.705095513,2011
"Takeaway","E07000045",1.635416533,2011
"Tea","E07000045",0.232188261,2011
"Tobacco","E07000045",2.105597669,2011
"Vegtables","E07000045",3.365918414,2011
"Alcohol at home","E07000046",3.483360035,2011
"Alcohol away from home","E07000046",3.08606285,2011
"Bread","E07000046",2.145844316,2011
"Butter","E07000046",0.210005892,2011
"Cakes puddings and pastry","E07000046",0.968910405,2011
"Coffee","E07000046",0.315471594,2011
"Eating out","E07000046",8.673851658,2011
"Eggs","E07000046",0.296623779,2011
"Fish","E07000046",1.100959695,2011
"Fruit","E07000046",1.864307148,2011
"Milk products","E07000046",2.896910022,2011
"Non alcoholic drinks","E07000046",1.391292342,2011
"Oils and fats","E07000046",0.387101857,2011
"Other","E07000046",1.325329562,2011
"Pasta","E07000046",0.173091526,2011
"Poultry","E07000046",0.910829645,2011
"Processed and Other Meat","E07000046",0.010539496,2011
"Processed Meat","E07000046",3.170943129,2011
"Red Meat","E07000046",1.422349419,2011
"Rice","E07000046",0.121454945,2011
"Sauces and spices","E07000046",0.092432236,2011
"Sugar confectionary and jam","E07000046",1.692486549,2011
"Takeaway","E07000046",1.62331798,2011
"Tea","E07000046",0.235009987,2011
"Tobacco","E07000046",2.18789425,2011
"Vegtables","E07000046",3.334953301,2011
"Alcohol at home","E07000047",3.565869548,2011
"Alcohol away from home","E07000047",3.109992079,2011
"Bread","E07000047",2.159319117,2011
"Butter","E07000047",0.212001119,2011
"Cakes puddings and pastry","E07000047",0.991753862,2011
"Coffee","E07000047",0.324711484,2011
"Eating out","E07000047",8.929923231,2011
"Eggs","E07000047",0.297933203,2011
"Fish","E07000047",1.120363568,2011
"Fruit","E07000047",1.907046626,2011
"Milk products","E07000047",2.909097732,2011
"Non alcoholic drinks","E07000047",1.414279945,2011
"Oils and fats","E07000047",0.383903746,2011
"Other","E07000047",1.339915753,2011
"Pasta","E07000047",0.174864721,2011
"Poultry","E07000047",0.936708082,2011
"Processed and Other Meat","E07000047",0.012555277,2011
"Processed Meat","E07000047",3.208124053,2011
"Red Meat","E07000047",1.435874754,2011
"Rice","E07000047",0.124148744,2011
"Sauces and spices","E07000047",0.091746582,2011
"Sugar confectionary and jam","E07000047",1.721589283,2011
"Takeaway","E07000047",1.624101166,2011
"Tea","E07000047",0.237182523,2011
"Tobacco","E07000047",2.125688565,2011
"Vegtables","E07000047",3.394985591,2011
"Alcohol at home","E07000048",3.540347655,2011
"Alcohol away from home","E07000048",3.013474382,2011
"Bread","E07000048",2.171568548,2011
"Butter","E07000048",0.22045436,2011
"Cakes puddings and pastry","E07000048",0.996071946,2011
"Coffee","E07000048",0.324127929,2011
"Eating out","E07000048",8.916584593,2011
"Eggs","E07000048",0.303862969,2011
"Fish","E07000048",1.173393189,2011
"Fruit","E07000048",1.996423318,2011
"Milk products","E07000048",2.960765812,2011
"Non alcoholic drinks","E07000048",1.396437574,2011
"Oils and fats","E07000048",0.393007227,2011
"Other","E07000048",1.359777255,2011
"Pasta","E07000048",0.168763269,2011
"Poultry","E07000048",0.923670955,2011
"Processed and Other Meat","E07000048",0.010463479,2011
"Processed Meat","E07000048",3.192734055,2011
"Red Meat","E07000048",1.479835641,2011
"Rice","E07000048",0.124823983,2011
"Sauces and spices","E07000048",0.099446735,2011
"Sugar confectionary and jam","E07000048",1.727222488,2011
"Takeaway","E07000048",1.585466855,2011
"Tea","E07000048",0.243029082,2011
"Tobacco","E07000048",1.997618516,2011
"Vegtables","E07000048",3.405770541,2011
"Alcohol at home","E07000049",3.631623907,2011
"Alcohol away from home","E07000049",3.11607015,2011
"Bread","E07000049",2.178400409,2011
"Butter","E07000049",0.221753252,2011
"Cakes puddings and pastry","E07000049",0.998536985,2011
"Coffee","E07000049",0.325490405,2011
"Eating out","E07000049",9.185284454,2011
"Eggs","E07000049",0.304609838,2011
"Fish","E07000049",1.17082589,2011
"Fruit","E07000049",1.997716877,2011
"Milk products","E07000049",2.968912634,2011
"Non alcoholic drinks","E07000049",1.409665159,2011
"Oils and fats","E07000049",0.395397434,2011
"Other","E07000049",1.360646966,2011
"Pasta","E07000049",0.169849821,2011
"Poultry","E07000049",0.940446315,2011
"Processed and Other Meat","E07000049",0.01231904,2011
"Processed Meat","E07000049",3.203658027,2011
"Red Meat","E07000049",1.497290461,2011
"Rice","E07000049",0.133194923,2011
"Sauces and spices","E07000049",0.098343912,2011
"Sugar confectionary and jam","E07000049",1.732810623,2011
"Takeaway","E07000049",1.593036236,2011
"Tea","E07000049",0.241976567,2011
"Tobacco","E07000049",1.982405701,2011
"Vegtables","E07000049",3.440023164,2011
"Alcohol at home","E07000050",3.549952157,2011
"Alcohol away from home","E07000050",3.207704491,2011
"Bread","E07000050",2.105471257,2011
"Butter","E07000050",0.208408911,2011
"Cakes puddings and pastry","E07000050",0.95675902,2011
"Coffee","E07000050",0.311898964,2011
"Eating out","E07000050",9.29737876,2011
"Eggs","E07000050",0.293484531,2011
"Fish","E07000050",1.114356171,2011
"Fruit","E07000050",1.932222601,2011
"Milk products","E07000050",2.861402497,2011
"Non alcoholic drinks","E07000050",1.415882556,2011
"Oils and fats","E07000050",0.370539204,2011
"Other","E07000050",1.33445031,2011
"Pasta","E07000050",0.175243532,2011
"Poultry","E07000050",0.931197963,2011
"Processed and Other Meat","E07000050",0.012171594,2011
"Processed Meat","E07000050",3.082078627,2011
"Red Meat","E07000050",1.407289692,2011
"Rice","E07000050",0.135014286,2011
"Sauces and spices","E07000050",0.10477523,2011
"Sugar confectionary and jam","E07000050",1.675768336,2011
"Takeaway","E07000050",1.681160736,2011
"Tea","E07000050",0.223455604,2011
"Tobacco","E07000050",2.041247771,2011
"Vegtables","E07000050",3.358580287,2011
"Alcohol at home","E07000051",3.452179841,2011
"Alcohol away from home","E07000051",3.020708131,2011
"Bread","E07000051",2.116845689,2011
"Butter","E07000051",0.211302617,2011
"Cakes puddings and pastry","E07000051",0.966344803,2011
"Coffee","E07000051",0.308966211,2011
"Eating out","E07000051",8.814045302,2011
"Eggs","E07000051",0.297343824,2011
"Fish","E07000051",1.120093584,2011
"Fruit","E07000051",1.919707966,2011
"Milk products","E07000051",2.862996027,2011
"Non alcoholic drinks","E07000051",1.384739798,2011
"Oils and fats","E07000051",0.388491982,2011
"Other","E07000051",1.313290011,2011
"Pasta","E07000051",0.171033928,2011
"Poultry","E07000051",0.921836438,2011
"Processed and Other Meat","E07000051",0.013495727,2011
"Processed Meat","E07000051",3.073686022,2011
"Red Meat","E07000051",1.42845969,2011
"Rice","E07000051",0.141065426,2011
"Sauces and spices","E07000051",0.099495329,2011
"Sugar confectionary and jam","E07000051",1.674856493,2011
"Takeaway","E07000051",1.607846601,2011
"Tea","E07000051",0.229002434,2011
"Tobacco","E07000051",1.997431948,2011
"Vegtables","E07000051",3.345292132,2011
"Alcohol at home","E07000052",3.575614212,2011
"Alcohol away from home","E07000052",3.050416338,2011
"Bread","E07000052",2.140274859,2011
"Butter","E07000052",0.218860854,2011
"Cakes puddings and pastry","E07000052",0.977614212,2011
"Coffee","E07000052",0.320770129,2011
"Eating out","E07000052",9.178500461,2011
"Eggs","E07000052",0.305883986,2011
"Fish","E07000052",1.168720621,2011
"Fruit","E07000052",1.996778951,2011
"Milk products","E07000052",2.91453936,2011
"Non alcoholic drinks","E07000052",1.399481318,2011
"Oils and fats","E07000052",0.3959792,2011
"Other","E07000052",1.335299447,2011
"Pasta","E07000052",0.170009031,2011
"Poultry","E07000052",0.931997768,2011
"Processed and Other Meat","E07000052",0.012676719,2011
"Processed Meat","E07000052",3.131486612,2011
"Red Meat","E07000052",1.474067402,2011
"Rice","E07000052",0.137553717,2011
"Sauces and spices","E07000052",0.105661734,2011
"Sugar confectionary and jam","E07000052",1.701596386,2011
"Takeaway","E07000052",1.594502833,2011
"Tea","E07000052",0.238360841,2011
"Tobacco","E07000052",1.948361172,2011
"Vegtables","E07000052",3.413993291,2011
"Alcohol at home","E07000053",3.24773286,2011
"Alcohol away from home","E07000053",2.988872887,2011
"Bread","E07000053",2.051775359,2011
"Butter","E07000053",0.194012607,2011
"Cakes puddings and pastry","E07000053",0.938003103,2011
"Coffee","E07000053",0.297444737,2011
"Eating out","E07000053",8.388489182,2011
"Eggs","E07000053",0.286090079,2011
"Fish","E07000053",1.049671302,2011
"Fruit","E07000053",1.805591624,2011
"Milk products","E07000053",2.775143451,2011
"Non alcoholic drinks","E07000053",1.375284542,2011
"Oils and fats","E07000053",0.381841363,2011
"Other","E07000053",1.274312187,2011
"Pasta","E07000053",0.173217422,2011
"Poultry","E07000053",0.899667106,2011
"Processed and Other Meat","E07000053",0.014353103,2011
"Processed Meat","E07000053",2.988835816,2011
"Red Meat","E07000053",1.368408396,2011
"Rice","E07000053",0.141133972,2011
"Sauces and spices","E07000053",0.091325114,2011
"Sugar confectionary and jam","E07000053",1.614727617,2011
"Takeaway","E07000053",1.62781146,2011
"Tea","E07000053",0.221437316,2011
"Tobacco","E07000053",2.103897935,2011
"Vegtables","E07000053",3.228961801,2011
"Alcohol at home","E07000061",3.437308777,2011
"Alcohol away from home","E07000061",3.296275934,2011
"Bread","E07000061",2.138734525,2011
"Butter","E07000061",0.201568035,2011
"Cakes puddings and pastry","E07000061",0.982645833,2011
"Coffee","E07000061",0.305113232,2011
"Eating out","E07000061",9.188847397,2011
"Eggs","E07000061",0.292197027,2011
"Fish","E07000061",1.087440272,2011
"Fruit","E07000061",1.868970508,2011
"Milk products","E07000061",2.882207303,2011
"Non alcoholic drinks","E07000061",1.442151657,2011
"Oils and fats","E07000061",0.377648713,2011
"Other","E07000061",1.340374545,2011
"Pasta","E07000061",0.182290842,2011
"Poultry","E07000061",0.92970607,2011
"Processed and Other Meat","E07000061",0.010883493,2011
"Processed Meat","E07000061",3.138173072,2011
"Red Meat","E07000061",1.379782898,2011
"Rice","E07000061",0.136302758,2011
"Sauces and spices","E07000061",0.091770782,2011
"Sugar confectionary and jam","E07000061",1.700705959,2011
"Takeaway","E07000061",1.763703993,2011
"Tea","E07000061",0.225214914,2011
"Tobacco","E07000061",2.189389243,2011
"Vegtables","E07000061",3.346387998,2011
"Alcohol at home","E07000062",3.281599751,2011
"Alcohol away from home","E07000062",3.191717526,2011
"Bread","E07000062",2.062723912,2011
"Butter","E07000062",0.188633784,2011
"Cakes puddings and pastry","E07000062",0.937470154,2011
"Coffee","E07000062",0.29264303,2011
"Eating out","E07000062",8.749768273,2011
"Eggs","E07000062",0.282031946,2011
"Fish","E07000062",1.018861216,2011
"Fruit","E07000062",1.755064256,2011
"Milk products","E07000062",2.78913099,2011
"Non alcoholic drinks","E07000062",1.448874951,2011
"Oils and fats","E07000062",0.369629634,2011
"Other","E07000062",1.311816252,2011
"Pasta","E07000062",0.183345355,2011
"Poultry","E07000062",0.913256923,2011
"Processed and Other Meat","E07000062",0.010392308,2011
"Processed Meat","E07000062",3.028927379,2011
"Red Meat","E07000062",1.335982534,2011
"Rice","E07000062",0.140701527,2011
"Sauces and spices","E07000062",0.089127307,2011
"Sugar confectionary and jam","E07000062",1.626661855,2011
"Takeaway","E07000062",1.790707303,2011
"Tea","E07000062",0.214967525,2011
"Tobacco","E07000062",2.265101714,2011
"Vegtables","E07000062",3.240526748,2011
"Alcohol at home","E07000063",3.584138356,2011
"Alcohol away from home","E07000063",3.243186657,2011
"Bread","E07000063",2.168163967,2011
"Butter","E07000063",0.213251865,2011
"Cakes puddings and pastry","E07000063",0.988339976,2011
"Coffee","E07000063",0.314338983,2011
"Eating out","E07000063",9.424436405,2011
"Eggs","E07000063",0.299756989,2011
"Fish","E07000063",1.136222844,2011
"Fruit","E07000063",1.944210118,2011
"Milk products","E07000063",2.923303497,2011
"Non alcoholic drinks","E07000063",1.455520721,2011
"Oils and fats","E07000063",0.387923574,2011
"Other","E07000063",1.355715342,2011
"Pasta","E07000063",0.182491755,2011
"Poultry","E07000063",0.945484193,2011
"Processed and Other Meat","E07000063",0.011875639,2011
"Processed Meat","E07000063",3.178832097,2011
"Red Meat","E07000063",1.432563141,2011
"Rice","E07000063",0.139735872,2011
"Sauces and spices","E07000063",0.096043219,2011
"Sugar confectionary and jam","E07000063",1.724022434,2011
