"group","LAD13CD","amount","year"
"Red Meat","E06000006",1.280878464,2010
"Rice","E06000006",0.123693233,2010
"Sauces and spices","E06000006",0.080160545,2010
"Sugar confectionary and jam","E06000006",1.524388718,2010
"Takeaway","E06000006",1.668528999,2010
"Tea","E06000006",0.206543279,2010
"Tobacco","E06000006",2.054964847,2010
"Vegtables","E06000006",3.134807297,2010
"Alcohol at home","E06000007",3.377161749,2010
"Alcohol away from home","E06000007",3.23142378,2010
"Bread","E06000007",1.900278681,2010
"Butter","E06000007",0.166413314,2010
"Cakes puddings and pastry","E06000007",0.915636233,2010
"Coffee","E06000007",0.272218601,2010
"Eating out","E06000007",8.823801316,2010
"Eggs","E06000007",0.281306973,2010
"Fish","E06000007",1.012033729,2010
"Fruit","E06000007",1.777819493,2010
"Milk products","E06000007",2.747322587,2010
"Non alcoholic drinks","E06000007",1.340233864,2010
"Oils and fats","E06000007",0.344018076,2010
"Other","E06000007",1.240074838,2010
"Pasta","E06000007",0.182841586,2010
"Poultry","E06000007",0.841608006,2010
"Processed and Other Meat","E06000007",0.007278096,2010
"Processed Meat","E06000007",2.850719338,2010
"Red Meat","E06000007",1.29894671,2010
"Rice","E06000007",0.13400878,2010
"Sauces and spices","E06000007",0.085217139,2010
"Sugar confectionary and jam","E06000007",1.541458776,2010
"Takeaway","E06000007",1.715513148,2010
"Tea","E06000007",0.20923663,2010
"Tobacco","E06000007",1.879308625,2010
"Vegtables","E06000007",3.219148528,2010
"Alcohol at home","E06000008",2.554924194,2010
"Alcohol away from home","E06000008",2.361857589,2010
"Bread","E06000008",1.669548651,2010
"Butter","E06000008",0.138297301,2010
"Cakes puddings and pastry","E06000008",0.782387658,2010
"Coffee","E06000008",0.227319073,2010
"Eating out","E06000008",7.312985178,2010
"Eggs","E06000008",0.256306493,2010
"Fish","E06000008",0.870911003,2010
"Fruit","E06000008",1.623734425,2010
"Milk products","E06000008",2.435607079,2010
"Non alcoholic drinks","E06000008",1.250276094,2010
"Oils and fats","E06000008",0.336729848,2010
"Other","E06000008",1.109130205,2010
"Pasta","E06000008",0.170375757,2010
"Poultry","E06000008",0.802741705,2010
"Processed and Other Meat","E06000008",0.013636682,2010
"Processed Meat","E06000008",2.314936011,2010
"Red Meat","E06000008",1.168336505,2010
"Rice","E06000008",0.19115782,2010
"Sauces and spices","E06000008",0.093690198,2010
"Sugar confectionary and jam","E06000008",1.351217321,2010
"Takeaway","E06000008",1.617802335,2010
"Tea","E06000008",0.181289121,2010
"Tobacco","E06000008",1.724609786,2010
"Vegtables","E06000008",2.87065914,2010
"Alcohol at home","E06000009",3.162052828,2010
"Alcohol away from home","E06000009",2.883720749,2010
"Bread","E06000009",1.917577533,2010
"Butter","E06000009",0.170155816,2010
"Cakes puddings and pastry","E06000009",0.917906854,2010
"Coffee","E06000009",0.277529991,2010
"Eating out","E06000009",7.738508507,2010
"Eggs","E06000009",0.28259394,2010
"Fish","E06000009",0.987334105,2010
"Fruit","E06000009",1.712285891,2010
"Milk products","E06000009",2.766526613,2010
"Non alcoholic drinks","E06000009",1.311477771,2010
"Oils and fats","E06000009",0.355171259,2010
"Other","E06000009",1.222277769,2010
"Pasta","E06000009",0.174744331,2010
"Poultry","E06000009",0.83402558,2010
